unique_id,building,floor,room,sensor_type,file_path
1,POLOA,4,413,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\413\co2.csv
2,POLOA,4,413,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\413\humidity.csv
3,POLOA,4,413,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\413\light.csv
4,POLOA,4,413,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\413\pir.csv
5,POLOA,4,413,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\413\temperature.csv
6,POLOA,4,415,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\415\co2.csv
7,POLOA,4,415,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\415\humidity.csv
8,POLOA,4,415,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\415\light.csv
9,POLOA,4,415,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\415\pir.csv
10,POLOA,4,415,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\415\temperature.csv
11,POLOA,4,417,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\417\co2.csv
12,POLOA,4,417,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\417\humidity.csv
13,POLOA,4,417,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\417\light.csv
14,POLOA,4,417,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\417\pir.csv
15,POLOA,4,417,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\417\temperature.csv
16,POLOA,4,419,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\419\co2.csv
17,POLOA,4,419,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\419\humidity.csv
18,POLOA,4,419,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\419\light.csv
19,POLOA,4,419,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\419\pir.csv
20,POLOA,4,419,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\4\419\temperature.csv
